,screen_name,text,account.type,class_type,translation
0,zawvrk,justin timberlake really one of the goats if you think about it,human,human,Justin Timberlake est vraiment l'un des moutons si vous en pensez
1,narendramodi,"Thank you @PMBhutan for your gracious prayers and wishes from the people of Bhutan. 

We will work together to take this relationship to greater heights of peace and prosperity. https://t.co/HC28P80uRu",human,human,"Merci @PMBhutan pour vos prières et souhaits graciaux du peuple du Bhutan. 

Nous travaillerons ensemble pour mener cette relation à des hauteurs de paix et de prospérité. Télécharger https://t.co/HC28P80uRu"
2,ahadsheriff,Theory: the number of red lights you will hit while driving is directly proportional to how bad you have to urinate,human,human,Théorie : le nombre de lumières rouges que vous touchez pendant la conduite est directement proportionnel à la mauvaise urination.
3,AINarendraModi,Respects on the Upt of the I good with the people of West Bengal. Watch my speed.,bot,rnn,Respect sur le haut du bien avec le peuple du Bengal occidental. Regardez ma vitesse.
4,kevinhooke,Might give the BASIC #10Liner game contest another go this year. I submitted an entry a couple of years ago and it's more challenging than you would think! https://t.co/qKWii1Dq8W https://t.co/pdhIzI7By6,human,human,Il est possible de donner au concours de jeu BASIC #10Liner un autre tour cette année. J'ai soumis une entrée il y a quelques années et c'est plus difficile que vous ne le pensiez! HTTPS://t.co/qKWii1Dq8W HTTPS://t.co/pdhIzI7By6
5,imranyebot,Fifty Four Degrees sent it was,bot,others,Cinquante-quatre degrés a été envoyé
6,DeepDrumpf,"Kansas They all said, “I don’t need anything. They had a horrible country, and has the special infrastructure, our country needs a rich.",bot,rnn,"Kansas Ils ont tous dit, ""Je n'ai pas besoin de rien. Ils avaient un pays horrible, et ont l’infrastructure spéciale, notre pays a besoin d’un riche."
7,jaden,I Wanna See Some Rainbows Out There Boys,human,human,Je voudrais voir des pluies dehors des garçons
8,dril,"ive been known to look at 2, even 3 emails , at the same damn time",human,human,"j'ai été connu pour regarder 2 e-mails, même 3 à la même heure"
9,narendramodi,My assurance to the people of the Northeast... https://t.co/LycG8BhiBN,human,human,Mon assurance au peuple du Nord-Est... https://t.co/LycG8BhiBN
10,dril,"picture now, on this Warm Summer's Night, if all the ""SWEARS"" on this page were replaced with helpful links to mazda ""Sign and Drive"" events",human,human,"image maintenant, sur cette nuit d'été chaud, si tous les ""SWEARS"" sur cette page ont été remplacés par des liens utiles à mazda ""Sign and Drive"" événements"
11,dril_gpt2,"there is a ""war on cows"" going on right now, but it is mostly just people saying dumb shit like ""cows are weak""",bot,gpt2,"Il y a une ""guerre sur les vaches"" en cours, mais c'est la plupart des gens qui disent stupide comme ""les vaches sont faibles"""
